Date,Open,High,Low,Close,Volume,Market Cap
"jun. 18, 2019","1,33","1,35","1,22","1,23",6.767.405,810.643.318
"jun. 17, 2019","1,29","1,35","1,28","1,33",6.246.080,877.243.807
"jun. 16, 2019","1,25","1,3","1,24","1,29",5.700.414,851.067.755
"jun. 15, 2019","1,23","1,26","1,21","1,25",5.245.296,822.432.838
"jun. 14, 2019","1,28","1,29","1,2","1,23",5.899.459,809.383.076
"jun. 13, 2019","1,27","1,3","1,25","1,28",5.019.616,839.970.572
"jun. 12, 2019","1,28","1,29","1,23","1,27",5.044.644,836.622.244
"jun. 11, 2019","1,3","1,31","1,22","1,28",4.552.928,845.021.530
"jun. 10, 2019","1,23","1,31","1,21","1,3",4.923.599,855.449.237
"jun. 09, 2019","1,26","1,28","1,19","1,23",4.224.513,810.791.982
"jun. 08, 2019","1,32","1,33","1,24","1,26",4.411.334,832.611.080
"jun. 07, 2019","1,33","1,42","1,31","1,32",5.561.432,873.534.846
"jun. 06, 2019","1,18","1,37","1,16","1,33",8.384.631,877.780.217
"jun. 05, 2019","1,21","1,24","1,14","1,18",8.880.765,780.822.862
"jun. 04, 2019","1,39","1,39","1,15","1,21",9.926.834,803.454.996
"jun. 03, 2019","1,51","1,51","1,38","1,39",5.727.266,919.188.916
"jun. 02, 2019","1,47","1,56","1,47","1,51",5.045.491,998.364.254
"jun. 01, 2019","1,51","1,51","1,47","1,47",5.251.971,975.104.108
"May 31, 2019","1,49","1,52","1,43","1,51",6.548.130,996.694.026
"May 30, 2019","1,59","1,68","1,46","1,49",10.738.553,980.806.612
"May 29, 2019","1,58","1,6","1,56","1,59",6.348.191,1.053.254.592
"May 28, 2019","1,65","1,65","1,58","1,58",5.946.047,1.045.779.042
"May 27, 2019","1,66","1,7","1,62","1,65",5.149.919,1.089.185.473
"May 26, 2019","1,57","1,67","1,52","1,67",5.990.545,1.102.824.937
"May 25, 2019","1,58","1,6","1,56","1,57",3.666.087,1.036.905.809
"May 24, 2019","1,62","1,63","1,56","1,58",4.654.673,1.042.343.268
"May 23, 2019","1,55","1,63","1,48","1,62",5.817.208,1.076.269.866
"May 22, 2019","1,65","1,66","1,55","1,55",5.317.375,1.028.022.627
"May 21, 2019","1,66","1,67","1,64","1,65",3.214.384,1.089.704.897
"May 20, 2019","1,83","1,83","1,63","1,66",6.782.919,1.101.134.503
"May 19, 2019","1,64","1,83","1,64","1,83",7.564.102,1.212.616.493
"May 18, 2019","1,67","1,73","1,64","1,64",5.957.965,1.083.004.958
"May 17, 2019","1,71","1,77","1,54","1,67",13.498.055,1.105.259.100
"May 16, 2019","1,78","1,83","1,63","1,7",11.915.320,1.127.862.168
"May 15, 2019","1,47","1,78","1,47","1,78",13.496.925,1.177.769.777
"May 14, 2019","1,33","1,47","1,3","1,47",8.335.135,976.075.296
"May 13, 2019","1,22","1,38","1,22","1,33",9.070.011,879.865.640
