Date,Open*,High,Low,Close**,Volume,Market Cap
"jan. 05, 2021",$13.57,$14.90,$13.17,$14.54,"$2,435,517,090","$5,808,816,237"
"jan. 04, 2021",$13.67,$15.58,$12.60,$13.57,"$2,926,793,268","$5,421,769,475"
"jan. 03, 2021",$12.22,$13.98,$11.88,$13.65,"$2,298,964,833","$5,453,374,285"
"jan. 02, 2021",$11.87,$12.36,$11.52,$12.22,"$1,562,557,417","$4,882,061,693"
"jan. 01, 2021",$11.27,$12.39,$11.12,$11.87,"$1,376,173,841","$4,737,262,864"
"Dec 31, 2020",$11.25,$11.72,$11.00,$11.27,"$1,206,737,630","$4,491,417,083"
"Dec 30, 2020",$11.77,$11.93,$11.10,$11.25,"$1,497,541,828","$4,484,657,373"
"Dec 29, 2020",$12.62,$12.98,$10.84,$11.77,"$2,021,247,540","$4,690,905,646"
"Dec 28, 2020",$12.15,$12.89,$12.04,$12.63,"$1,696,784,037","$5,032,530,333"
"Dec 27, 2020",$10.96,$13.04,$10.24,$12.13,"$2,199,716,491","$4,833,804,693"
"Dec 26, 2020",$11.55,$11.78,$10.68,$10.96,"$1,419,511,858","$4,369,607,246"
"Dec 25, 2020",$11.57,$11.86,$11.08,$11.55,"$1,400,082,282","$4,601,464,285"
"Dec 24, 2020",$10.87,$11.66,$9.97,$11.58,"$1,894,113,775","$4,601,353,612"
"Dec 23, 2020",$12.79,$12.85,$8.51,$10.83,"$1,924,391,288","$4,305,549,989"
"Dec 22, 2020",$12.34,$12.81,$11.86,$12.79,"$1,298,374,631","$5,085,710,726"
"Dec 21, 2020",$13.07,$13.25,$12.17,$12.34,"$1,245,762,390","$4,906,060,969"
"Dec 20, 2020",$13.49,$13.74,$12.80,$13.07,"$1,142,006,160","$5,195,479,300"
"Dec 19, 2020",$13.51,$13.97,$13.32,$13.49,"$1,149,858,506","$5,363,273,311"
"Dec 18, 2020",$13.47,$13.99,$13.22,$13.51,"$1,304,911,675","$5,370,828,242"
"Dec 17, 2020",$13.45,$14.44,$13.17,$13.47,"$1,827,482,311","$5,339,846,856"
"Dec 16, 2020",$12.70,$13.46,$12.35,$13.45,"$1,223,226,479","$5,333,484,654"
"Dec 15, 2020",$12.83,$12.99,$12.49,$12.71,"$810,207,085","$5,037,840,783"
"Dec 14, 2020",$12.94,$12.97,$12.36,$12.83,"$925,077,262","$5,086,247,468"
"Dec 13, 2020",$12.21,$13.21,$12.05,$12.93,"$1,038,194,830","$5,128,336,928"
"Dec 12, 2020",$11.66,$12.33,$11.64,$12.21,"$855,257,539","$4,841,047,357"
"Dec 11, 2020",$11.92,$11.94,$11.45,$11.66,"$1,028,197,389","$4,623,343,452"
"Dec 10, 2020",$12.63,$12.65,$11.88,$11.92,"$911,441,756","$4,715,343,817"
"Dec 09, 2020",$12.14,$12.79,$11.63,$12.63,"$1,305,647,086","$4,996,626,296"
"Dec 08, 2020",$13.08,$13.18,$12.03,$12.15,"$1,057,784,369","$4,803,745,890"
"Dec 07, 2020",$13.49,$13.52,$12.91,$13.08,"$894,451,650","$5,173,640,423"
"Dec 06, 2020",$13.17,$13.52,$12.81,$13.49,"$1,019,945,503","$5,336,371,894"
"Dec 05, 2020",$12.74,$13.33,$12.59,$13.17,"$1,048,597,571","$5,210,062,237"
"Dec 04, 2020",$13.97,$14.03,$12.61,$12.74,"$1,281,415,263","$5,039,284,343"
"Dec 03, 2020",$13.99,$14.19,$13.67,$13.97,"$1,118,049,762","$5,513,160,959"
"Dec 02, 2020",$13.39,$14.13,$13.14,$13.99,"$1,369,209,189","$5,518,149,574"
"Dec 01, 2020",$14.23,$14.80,$13.25,$13.39,"$1,850,007,077","$5,282,299,530"
"nov. 30, 2020",$13.37,$14.38,$13.37,$14.23,"$1,808,384,178","$5,612,150,333"
"nov. 29, 2020",$13.08,$13.40,$12.87,$13.37,"$1,244,611,322","$5,275,744,093"
"nov. 28, 2020",$12.49,$13.41,$12.39,$13.08,"$1,408,628,665","$5,159,532,581"
"nov. 27, 2020",$12.59,$12.95,$12.04,$12.49,"$1,705,568,925","$4,927,526,434"
"nov. 26, 2020",$14.26,$14.45,$11.36,$12.58,"$3,181,022,660","$4,948,525,351"
"nov. 25, 2020",$15.62,$15.77,$13.93,$14.26,"$1,779,310,502","$5,611,825,849"
"nov. 24, 2020",$15.27,$16.25,$15.01,$15.62,"$2,650,363,423","$6,146,880,911"
"nov. 23, 2020",$14.44,$15.37,$14.25,$15.27,"$2,108,675,136","$6,009,223,002"
"nov. 22, 2020",$15.36,$15.62,$13.91,$14.44,"$2,199,639,008","$5,684,167,331"
"nov. 21, 2020",$14.08,$15.40,$13.77,$15.36,"$2,190,837,254","$6,042,706,777"
"nov. 20, 2020",$13.62,$14.40,$13.51,$14.08,"$1,733,532,246","$5,539,935,066"
"nov. 19, 2020",$13.59,$13.97,$13.07,$13.62,"$1,523,595,574","$5,346,718,844"
"nov. 18, 2020",$13.24,$14.20,$12.92,$13.59,"$2,364,966,937","$5,335,380,994"
"nov. 17, 2020",$12.80,$13.31,$12.55,$13.24,"$1,527,160,119","$5,198,675,836"
"nov. 16, 2020",$12.12,$12.79,$12.03,$12.59,"$1,052,161,971","$4,942,005,574"
"nov. 15, 2020",$12.58,$12.63,$11.84,$12.12,"$967,748,061","$4,757,927,484"
"nov. 14, 2020",$12.89,$12.91,$12.39,$12.58,"$997,198,275","$4,936,577,002"
"nov. 13, 2020",$12.42,$12.99,$12.34,$12.89,"$1,306,004,087","$5,045,766,668"
"nov. 12, 2020",$12.81,$13.08,$12.31,$12.42,"$1,400,960,180","$4,863,810,509"
"nov. 11, 2020",$13.00,$13.39,$12.79,$12.81,"$1,517,819,145","$5,014,273,699"
"nov. 10, 2020",$12.52,$13.24,$12.35,$13.00,"$1,724,813,657","$5,090,980,020"
"nov. 09, 2020",$12.66,$12.95,$12.11,$12.52,"$1,644,324,040","$4,901,987,590"
"nov. 08, 2020",$11.76,$13.00,$11.53,$12.66,"$1,647,580,702","$4,954,958,453"
"nov. 07, 2020",$12.12,$13.38,$11.54,$11.76,"$2,566,987,251","$4,603,065,620"
"nov. 06, 2020",$10.99,$12.21,$10.92,$12.12,"$1,475,069,579","$4,744,341,015"
"nov. 05, 2020",$10.47,$11.20,$10.11,$10.99,"$1,360,783,363","$4,291,961,277"
"nov. 04, 2020",$10.39,$10.63,$9.80,$10.47,"$1,678,488,769","$4,089,645,472"
"nov. 03, 2020",$10.80,$10.80,$10.13,$10.39,"$1,696,479,711","$4,056,223,428"
"nov. 02, 2020",$11.54,$11.64,$10.79,$10.80,"$1,527,825,758","$4,216,557,628"
"nov. 01, 2020",$11.22,$11.57,$11.04,$11.54,"$1,319,631,443","$4,505,164,094"
"Oct 31, 2020",$11.10,$11.38,$10.94,$11.22,"$1,447,587,815","$4,381,844,695"
"Oct 30, 2020",$11.27,$11.42,$10.79,$11.10,"$1,653,652,915","$4,334,092,396"
"Oct 29, 2020",$11.46,$11.77,$11.12,$11.27,"$1,476,177,870","$4,387,880,069"
"Oct 28, 2020",$11.97,$12.12,$11.20,$11.46,"$1,236,406,880","$4,464,458,198"
"Oct 27, 2020",$11.75,$12.43,$11.54,$11.97,"$1,345,673,430","$4,663,923,833"
"Oct 26, 2020",$12.16,$12.43,$11.35,$11.75,"$1,465,017,714","$4,575,920,268"
"Oct 25, 2020",$12.73,$12.84,$12.01,$12.16,"$1,292,633,532","$4,724,299,098"
"Oct 24, 2020",$12.16,$12.92,$11.99,$12.73,"$1,474,195,506","$4,946,328,238"
"Oct 23, 2020",$11.96,$12.24,$11.61,$12.16,"$1,480,801,396","$4,725,750,536"
"Oct 22, 2020",$10.79,$12.32,$10.74,$11.94,"$1,543,967,732","$4,638,545,711"
"Oct 21, 2020",$9.88,$11.06,$9.87,$10.80,"$1,238,425,755","$4,197,693,182"
"Oct 20, 2020",$10.88,$10.90,$9.86,$9.88,"$1,241,598,369","$3,837,927,712"
"Oct 19, 2020",$10.89,$11.13,$10.64,$10.89,"$910,617,050","$4,229,424,991"
"Oct 18, 2020",$10.64,$10.95,$10.57,$10.88,"$762,577,602","$4,227,260,785"
"Oct 17, 2020",$10.61,$10.71,$10.46,$10.65,"$735,511,418","$4,138,607,215"
"Oct 16, 2020",$10.75,$10.86,$10.32,$10.62,"$1,066,918,482","$4,125,796,634"
"Oct 15, 2020",$10.92,$10.92,$10.52,$10.74,"$1,148,852,514","$3,758,213,257"
"Oct 14, 2020",$10.99,$11.29,$10.65,$10.95,"$1,280,567,851","$3,832,188,117"
"Oct 13, 2020",$11.43,$11.53,$10.72,$11.00,"$1,460,104,539","$3,848,406,730"
"Oct 12, 2020",$10.84,$11.75,$10.71,$11.45,"$1,864,848,583","$4,008,518,102"
"Oct 11, 2020",$10.52,$10.97,$10.21,$10.85,"$1,339,565,194","$3,796,592,355"
"Oct 10, 2020",$10.39,$10.81,$10.39,$10.52,"$1,370,779,935","$3,683,677,566"
"Oct 09, 2020",$9.52,$10.47,$9.37,$10.35,"$1,678,061,807","$3,621,415,789"
"Oct 08, 2020",$8.99,$9.62,$8.51,$9.51,"$1,444,612,730","$3,328,086,360"
"Oct 07, 2020",$8.78,$9.01,$8.47,$8.96,"$1,011,459,545","$3,135,247,607"
"Oct 06, 2020",$9.63,$9.63,$8.68,$8.78,"$1,107,581,245","$3,072,745,063"
