Date,Open*,High,Low,Close**,Volume,Market Cap
"jan. 13, 2021",$2.867,$3.145,$2.724,$3.136,"$2,656,935,144","$9,757,153,488"
"jan. 12, 2021",$2.752,$3.134,$2.657,$2.870,"$4,037,298,875","$8,929,377,217"
"jan. 11, 2021",$3.050,$3.050,$2.330,$2.755,"$4,768,803,200","$8,570,417,665"
"jan. 10, 2021",$3.330,$3.404,$2.846,$3.049,"$3,732,911,206","$9,486,050,469"
"jan. 09, 2021",$3.056,$3.386,$2.967,$3.330,"$3,655,608,662","$10,359,612,261"
"jan. 08, 2021",$3.004,$3.202,$2.665,$3.056,"$4,560,690,774","$9,507,877,119"
"jan. 07, 2021",$3.323,$3.533,$2.832,$3.000,"$5,149,188,552","$9,333,113,824"
"jan. 06, 2021",$2.585,$3.463,$2.562,$3.319,"$6,170,988,900","$10,326,186,774"
"jan. 05, 2021",$2.248,$2.649,$2.085,$2.583,"$4,097,207,384","$8,036,779,511"
"jan. 04, 2021",$2.052,$2.397,$1.944,$2.248,"$3,260,699,086","$6,992,916,199"
"jan. 03, 2021",$1.774,$2.087,$1.734,$2.050,"$2,303,857,909","$6,377,915,102"
"jan. 02, 2021",$1.754,$1.843,$1.692,$1.774,"$1,408,849,504","$5,520,054,873"
"jan. 01, 2021",$1.814,$1.842,$1.720,$1.753,"$1,122,218,004","$5,455,571,953"
"Dec 31, 2020",$1.840,$1.857,$1.766,$1.814,"$1,132,268,397","$5,643,713,241"
"Dec 30, 2020",$1.920,$1.931,$1.757,$1.840,"$1,849,432,295","$5,725,936,828"
"Dec 29, 2020",$1.767,$1.962,$1.740,$1.922,"$2,967,669,490","$5,978,703,149"
"Dec 28, 2020",$1.544,$1.786,$1.534,$1.767,"$1,732,151,279","$5,498,652,274"
"Dec 27, 2020",$1.578,$1.652,$1.504,$1.544,"$1,578,354,821","$4,804,453,144"
"Dec 26, 2020",$1.576,$1.620,$1.498,$1.578,"$1,191,970,341","$4,910,288,580"
"Dec 25, 2020",$1.529,$1.668,$1.505,$1.576,"$1,119,917,804","$4,902,200,882"
"Dec 24, 2020",$1.365,$1.543,$1.321,$1.529,"$1,470,292,431","$4,756,584,656"
"Dec 23, 2020",$1.562,$1.574,$1.274,$1.364,"$1,484,453,887","$4,243,561,035"
"Dec 22, 2020",$1.526,$1.600,$1.495,$1.562,"$1,138,400,653","$4,859,123,318"
"Dec 21, 2020",$1.620,$1.654,$1.479,$1.527,"$1,139,902,286","$4,749,512,291"
"Dec 20, 2020",$1.647,$1.677,$1.587,$1.620,"$729,191,687","$5,039,863,587"
"Dec 19, 2020",$1.650,$1.705,$1.633,$1.647,"$586,684,841","$5,124,648,592"
"Dec 18, 2020",$1.634,$1.686,$1.592,$1.650,"$1,101,018,945","$5,133,191,975"
"Dec 17, 2020",$1.676,$1.743,$1.616,$1.635,"$1,188,727,265","$5,086,350,899"
"Dec 16, 2020",$1.543,$1.676,$1.500,$1.676,"$976,699,799","$5,214,107,174"
"Dec 15, 2020",$1.581,$1.597,$1.534,$1.543,"$607,184,173","$4,800,812,312"
"Dec 14, 2020",$1.540,$1.580,$1.498,$1.580,"$587,078,385","$4,915,534,755"
"Dec 13, 2020",$1.445,$1.563,$1.435,$1.540,"$675,025,745","$4,790,208,946"
"Dec 12, 2020",$1.394,$1.473,$1.392,$1.445,"$519,780,651","$4,494,503,217"
"Dec 11, 2020",$1.420,$1.427,$1.352,$1.394,"$704,854,539","$4,338,604,376"
"Dec 10, 2020",$1.482,$1.485,$1.400,$1.420,"$798,550,525","$4,417,795,610"
"Dec 09, 2020",$1.409,$1.498,$1.305,$1.482,"$1,320,752,603","$4,609,780,641"
"Dec 08, 2020",$1.541,$1.549,$1.390,$1.409,"$939,164,987","$4,384,632,224"
"Dec 07, 2020",$1.589,$1.590,$1.517,$1.541,"$789,426,236","$4,795,379,168"
"Dec 06, 2020",$1.597,$1.624,$1.534,$1.589,"$886,137,949","$4,942,739,301"
"Dec 05, 2020",$1.482,$1.614,$1.468,$1.597,"$1,036,100,099","$4,967,663,076"
"Dec 04, 2020",$1.642,$1.645,$1.470,$1.482,"$1,200,621,758","$4,612,149,974"
"Dec 03, 2020",$1.586,$1.680,$1.559,$1.642,"$1,287,927,035","$5,109,042,857"
"Dec 02, 2020",$1.560,$1.597,$1.514,$1.586,"$1,367,595,805","$4,933,112,086"
"Dec 01, 2020",$1.714,$1.739,$1.466,$1.560,"$2,071,556,994","$4,853,014,492"
"nov. 30, 2020",$1.666,$1.728,$1.606,$1.713,"$2,151,589,402","$5,329,823,912"
"nov. 29, 2020",$1.649,$1.706,$1.576,$1.666,"$1,731,327,207","$5,184,554,213"
"nov. 28, 2020",$1.411,$1.716,$1.396,$1.648,"$1,932,319,047","$5,127,054,700"
"nov. 27, 2020",$1.383,$1.446,$1.314,$1.410,"$1,505,708,870","$4,387,736,333"
"nov. 26, 2020",$1.551,$1.602,$1.234,$1.383,"$2,523,183,036","$4,302,273,183"
"nov. 25, 2020",$1.663,$1.749,$1.499,$1.552,"$1,773,041,979","$4,827,479,500"
"nov. 24, 2020",$1.536,$1.821,$1.536,$1.663,"$2,566,224,959","$5,174,709,739"
"nov. 23, 2020",$1.448,$1.582,$1.425,$1.535,"$2,203,606,418","$4,776,075,388"
"nov. 22, 2020",$1.329,$1.527,$1.202,$1.448,"$2,294,032,112","$4,503,848,489"
"nov. 21, 2020",$1.182,$1.336,$1.168,$1.329,"$1,385,060,442","$4,136,248,611"
"nov. 20, 2020",$1.059,$1.182,$1.058,$1.182,"$688,553,865","$3,678,295,392"
"nov. 19, 2020",$1.064,$1.077,$1.045,$1.059,"$590,674,105","$3,293,756,213"
"nov. 18, 2020",$1.096,$1.115,$1.035,$1.064,"$692,683,324","$3,310,449,577"
"nov. 17, 2020",$1.055,$1.120,$1.051,$1.096,"$622,568,575","$3,409,932,700"
"nov. 16, 2020",$1.005,$1.049,$9.966,$1.040,"$400,498,894","$3,235,940,749"
"nov. 15, 2020",$1.042,$1.051,$9.880,$1.005,"$358,303,858","$3,127,773,189"
"nov. 14, 2020",$1.064,$1.068,$1.017,$1.042,"$432,474,021","$3,241,970,358"
"nov. 13, 2020",$1.045,$1.078,$1.041,$1.064,"$477,838,893","$3,310,080,126"
"nov. 12, 2020",$1.060,$1.065,$1.028,$1.045,"$634,274,545","$3,252,034,178"
"nov. 11, 2020",$1.058,$1.084,$1.055,$1.060,"$631,585,357","$3,296,832,659"
"nov. 10, 2020",$1.053,$1.086,$1.039,$1.058,"$700,753,239","$3,291,865,465"
"nov. 09, 2020",$1.066,$1.080,$1.015,$1.053,"$802,272,882","$3,276,933,037"
"nov. 08, 2020",$1.014,$1.083,$1.002,$1.066,"$625,787,081","$3,317,245,143"
"nov. 07, 2020",$1.091,$1.132,$9.941,$1.014,"$861,840,304","$3,154,155,667"
"nov. 06, 2020",$9.699,$1.097,$9.672,$1.091,"$717,731,180","$3,394,525,417"
"nov. 05, 2020",$9.537,$9.757,$9.221,$9.699,"$554,496,502","$3,017,735,497"
"nov. 04, 2020",$9.343,$9.600,$9.213,$9.537,"$1,041,738,046","$2,967,168,445"
"nov. 03, 2020",$9.214,$9.383,$8.805,$9.343,"$859,629,132","$2,906,977,496"
"nov. 02, 2020",$9.820,$9.994,$9.177,$9.214,"$817,756,720","$2,866,799,007"
"nov. 01, 2020",$9.306,$9.849,$9.285,$9.820,"$609,565,849","$3,055,149,297"
"Oct 31, 2020",$9.337,$9.527,$9.221,$9.306,"$662,592,019","$2,895,202,549"
"Oct 30, 2020",$9.538,$9.559,$9.036,$9.337,"$855,782,606","$2,904,936,834"
"Oct 29, 2020",$9.898,$1.007,$9.500,$9.538,"$883,054,980","$2,967,374,456"
"Oct 28, 2020",$1.028,$1.033,$9.557,$9.898,"$876,721,856","$3,079,412,144"
"Oct 27, 2020",$1.031,$1.055,$1.021,$1.028,"$913,522,302","$3,199,198,208"
"Oct 26, 2020",$1.064,$1.074,$9.943,$1.031,"$880,221,833","$3,207,604,424"
"Oct 25, 2020",$1.081,$1.087,$1.062,$1.064,"$722,743,351","$3,308,833,127"
"Oct 24, 2020",$1.081,$1.097,$1.075,$1.081,"$868,194,497","$3,362,485,522"
"Oct 23, 2020",$1.107,$1.118,$1.056,$1.081,"$1,110,973,427","$3,362,726,011"
"Oct 22, 2020",$1.061,$1.124,$1.055,$1.106,"$933,335,641","$3,440,161,416"
"Oct 21, 2020",$1.025,$1.083,$1.018,$1.062,"$779,410,099","$3,303,738,303"
"Oct 20, 2020",$1.086,$1.088,$1.012,$1.025,"$707,955,236","$3,188,834,001"
"Oct 19, 2020",$1.074,$1.109,$1.062,$1.087,"$490,775,170","$3,381,215,174"
"Oct 18, 2020",$1.060,$1.076,$1.053,$1.074,"$432,851,135","$3,341,113,201"
"Oct 17, 2020",$1.042,$1.070,$1.034,$1.061,"$472,005,227","$3,301,145,173"
"Oct 16, 2020",$1.067,$1.073,$1.025,$1.041,"$553,561,875","$3,237,674,829"
"Oct 15, 2020",$1.072,$1.076,$1.050,$1.066,"$562,197,282","$3,317,690,625"
"Oct 14, 2020",$1.093,$1.122,$1.057,$1.073,"$713,264,193","$3,338,272,776"
"Oct 13, 2020",$1.100,$1.141,$1.083,$1.089,"$823,217,251","$3,386,661,064"
"Oct 12, 2020",$1.065,$1.131,$1.027,$1.100,"$821,299,647","$3,423,443,432"
"Oct 11, 2020",$1.049,$1.089,$1.044,$1.065,"$797,480,086","$3,314,647,791"
"Oct 10, 2020",$1.015,$1.105,$1.014,$1.050,"$923,715,999","$3,267,585,277"
"Oct 09, 2020",$9.627,$1.025,$9.517,$1.019,"$762,383,014","$3,171,149,840"
"Oct 08, 2020",$9.378,$9.670,$9.080,$9.615,"$690,490,593","$2,991,528,632"
"Oct 07, 2020",$9.286,$9.433,$8.990,$9.380,"$613,251,111","$2,918,360,588"
"Oct 06, 2020",$9.754,$9.850,$9.187,$9.281,"$997,995,413","$2,887,475,830"
"Oct 05, 2020",$9.640,$9.872,$9.632,$9.754,"$625,952,257","$3,034,839,679"
"Oct 04, 2020",$9.352,$9.697,$9.270,$9.635,"$697,459,534","$2,997,634,377"
"Oct 03, 2020",$9.291,$9.516,$9.251,$9.341,"$553,029,310","$2,906,296,014"
"Oct 02, 2020",$9.795,$1.000,$9.033,$9.292,"$828,579,008","$2,890,990,819"
"Oct 01, 2020",$1.012,$1.042,$9.584,$9.787,"$743,737,566","$3,044,828,931"
"Sep 30, 2020",$1.010,$1.014,$9.711,$1.011,"$615,414,657","$3,144,283,757"
"Sep 29, 2020",$1.004,$1.034,$9.791,$1.012,"$688,007,846","$3,147,982,046"
"Sep 28, 2020",$1.013,$1.065,$1.004,$1.007,"$825,058,842","$3,132,013,926"
"Sep 27, 2020",$9.552,$1.023,$9.481,$1.013,"$727,996,428","$3,151,289,579"
"Sep 26, 2020",$9.690,$9.940,$9.283,$9.556,"$649,321,135","$2,973,219,790"
"Sep 25, 2020",$8.279,$9.800,$8.265,$9.685,"$904,408,695","$3,013,095,546"
"Sep 24, 2020",$7.677,$8.351,$7.589,$8.282,"$596,569,914","$2,576,629,224"
"Sep 23, 2020",$8.157,$8.265,$7.626,$7.676,"$501,076,416","$2,388,284,816"
"Sep 22, 2020",$8.045,$8.303,$7.987,$8.175,"$316,907,647","$2,543,566,502"
"Sep 21, 2020",$8.946,$9.029,$7.843,$8.043,"$566,692,194","$2,502,302,450"
"Sep 20, 2020",$9.166,$9.224,$8.836,$8.943,"$682,896,131","$2,782,473,260"
"Sep 19, 2020",$9.088,$9.307,$9.063,$9.166,"$617,795,834","$2,851,669,375"
"Sep 18, 2020",$9.422,$9.422,$9.002,$9.108,"$699,241,251","$2,833,753,910"
"Sep 17, 2020",$9.165,$9.451,$9.107,$9.422,"$825,621,808","$2,931,310,016"
"Sep 16, 2020",$9.340,$9.369,$8.993,$9.165,"$822,410,832","$2,851,444,344"
"Sep 15, 2020",$9.681,$9.793,$9.331,$9.350,"$813,329,601","$2,908,901,262"
"Sep 14, 2020",$9.491,$9.818,$9.358,$9.677,"$851,692,144","$2,508,929,771"
"Sep 13, 2020",$9.760,$9.975,$9.294,$9.486,"$771,663,333","$2,459,337,149"
"Sep 12, 2020",$9.711,$9.871,$9.532,$9.760,"$699,214,253","$2,530,438,657"
"Sep 11, 2020",$9.716,$9.753,$9.330,$9.699,"$771,197,364","$2,514,641,826"
"Sep 10, 2020",$9.343,$9.969,$9.343,$9.716,"$809,239,667","$2,518,960,461"
"Sep 09, 2020",$9.115,$9.574,$8.976,$9.335,"$572,617,714","$2,420,254,923"
"Sep 08, 2020",$9.324,$9.657,$8.892,$9.101,"$610,082,647","$2,359,641,181"
"Sep 07, 2020",$9.307,$9.384,$8.693,$9.333,"$463,220,962","$2,419,859,105"
"Sep 06, 2020",$8.992,$9.519,$8.684,$9.306,"$454,580,262","$2,412,763,134"
"Sep 05, 2020",$1.024,$1.040,$8.740,$8.992,"$481,176,027","$2,331,449,998"
"Sep 04, 2020",$9.599,$1.040,$9.408,$1.024,"$514,623,980","$2,656,099,876"
"Sep 03, 2020",$1.155,$1.164,$9.557,$9.615,"$486,369,863","$2,492,979,309"
"Sep 02, 2020",$1.255,$1.265,$1.120,$1.156,"$427,391,907","$2,997,504,255"
